vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
1,170,3.8117647058823527,1.0433686640690123,4,3.9338235294117645,1.4826,1,5,4,-0.8336663470775686,0.1840257395827649,0.08002272358013858
2,170,3.723529411764706,1.0603278558312628,4,3.823529411764706,1.4826,1,5,4,-0.5912069940061464,-0.23404779490754635,0.08132343421221806
3,170,2.2823529411764705,1.2124771914490589,2,2.161764705882353,1.4826,1,5,4,0.6393133959405068,-0.6611994523,0.09299275556174184
4,170,3.2529411764705882,1.2920410196736472,3,3.3161764705882355,1.4826,1,5,4,-0.27772249024175627,-1.0263337339144982,0.09909502262443438
5,170,2.8176470588235296,1.1340534692619852,3,2.7941176470588234,1.4826,1,5,4,0.21348754123528732,-0.7734566918680565,0.08697793064048402
6,170,2.8823529411764706,1.1137841536705528,3,2.8970588235294117,1.4826,1,5,4,-0.024395541601352037,-0.7987749869068823,0.08542334509983134
7,170,3.9823529411764707,0.9132394347749032,4,4.080882352941177,1.4826,1,5,4,-0.799637896637617,0.3610195679846435,0.07004226729071125
8,170,3.123529411764706,1.2074862204193515,3,3.1544117647058822,1.4826,1,5,4,-0.07563032760665372,-0.947972435123583,0.09260996555772813
9,170,3.2,1.17468364115822,3,3.25,1.4826,1,5,4,-0.2369018554301198,-0.7510011676822521,0.09009412257401027
10,170,3.2176470588235295,1.233043712839234,3,3.25,1.4826,1,5,4,-0.020470598154543725,-1.001724775253278,0.09457013574660633
11,170,3.7411764705882353,1.1216317485363667,4,3.8529411764705883,1.4826,1,5,4,-0.7085351821999623,-0.3321401490913467,0.08602522815070511
12,170,3.2759358288770053,0.33637659246191204,3.272727272727273,3.283422459893048,0.4043454545454542,2.1818181818181817,4.181818181818182,2,-0.16291174980126027,-0.058186861322120365,0.025798906948606683
