vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
1,170,2.4705882352941178,1.104999240077038,2,2.4191176470588234,1.4826,1,5,4,0.33553755395144036,-0.7407686239484632,0.08474957298420382
2,170,2.9823529411764707,1.1639228172003426,3,2.9779411764705883,1.4826,1,5,4,0.07879644031445956,-0.8010344110410808,0.08926880505132608
3,170,2.3294117647058825,1.1241115918211544,2,2.2205882352941178,1.4826,1,5,4,0.6496778250299923,-0.28771733943369204,0.08621542344843114
4,170,2.847058823529412,1.1817736379825707,3,2.8088235294117645,1.4826,1,5,4,0.16716032364942454,-0.7698342400761065,0.09063790050754186
5,170,3.0352941176470587,1.1961185631554074,3,3.0441176470588234,1.4826,1,5,4,0.015095004007534966,-0.9321035136910423,0.09173810604506198
6,170,2.8529411764705883,1.1699479819816718,3,2.8161764705882355,1.4826,1,5,4,0.2189083761929013,-0.8525856601679549,0.08973091409525764
7,170,2.4529411764705884,1.1308569547651106,2,2.389705882352941,1.4826,1,5,4,0.42110580143637416,-0.7331301170912905,0.08673276916993942
8,170,2.9941176470588236,1.3031462102346263,3,2.9926470588235294,1.4826,1,5,4,0.1224445029723031,-1.0662605289748142,0.09994675185990931
9,170,2.764705882352941,1.2512437251505026,3,2.7205882352941178,1.4826,1,5,4,0.050995523243909505,-1.0187546917554933,0.09596601297053975
10,170,2.7477124183006536,0.37969819162031354,2.7777777777777777,2.75,0.3294666666666668,1.7777777777777777,3.7777777777777777,2,-0.009812853718142332,-0.052603356562600734,0.02912152193014405
